Date,Open,High,Low,Close,Adj Close,Volume
2019-03-06,133.410690,134.022400,131.082947,133.267960,133.267960,281163955
2019-03-07,133.293518,135.027466,131.256973,132.156082,132.156082,281220759
2019-03-08,132.210648,133.573486,128.280746,129.470261,129.470261,301191834
2019-03-09,129.423325,136.383102,128.360428,133.815567,133.815567,317778034
2019-03-10,134.035934,134.158234,131.185547,132.837814,132.837814,274459920
2019-03-11,132.860870,133.402145,128.234268,130.204941,130.204941,268403469
2019-03-12,130.346161,130.663498,128.095032,128.948242,128.948242,232279796
2019-03-13,129.191559,129.722580,127.921814,128.933746,128.933746,217915163
2019-03-14,128.823196,135.735611,128.823196,133.898117,133.898117,388641463
2019-03-15,133.793701,146.741592,132.944595,143.993622,143.993622,363130165
2019-03-16,143.979736,160.690826,143.979736,157.579788,157.579788,648403249
2019-03-17,157.439926,158.668915,148.706955,156.078995,156.078995,437535869
2019-03-18,156.258881,166.674698,156.085297,162.494171,162.494171,635931668
2019-03-19,162.596100,163.187195,157.809753,162.427780,162.427780,430154285
2019-03-20,162.333389,162.333389,156.583771,160.532928,160.532928,394747561
2019-03-21,160.791565,161.292358,150.559769,154.766937,154.766937,488749472
2019-03-22,154.705963,161.085129,153.536392,158.340775,158.340775,373689646
2019-03-23,158.126556,170.051514,157.696854,167.410812,167.410812,518279690
2019-03-24,167.091415,167.091415,164.047623,165.936234,165.936234,400180522
2019-03-25,166.106461,166.701996,158.655945,161.618149,161.618149,462768946
2019-03-26,161.386871,161.944641,156.005203,161.438049,161.438049,448350663
2019-03-27,160.512726,174.168732,160.046616,173.180573,173.180573,566792974
2019-03-28,173.095688,173.095688,167.256744,169.454041,169.454041,545985640
2019-03-29,169.347137,172.156113,166.460876,170.449982,170.449982,560103605
2019-03-30,170.301483,177.730911,167.374359,168.588196,168.588196,581569996
2019-03-31,168.639648,169.035263,167.382904,168.937546,168.937546,454369901
2019-04-01,168.899078,169.312897,167.087402,167.626999,167.626999,465814641
2019-04-02,167.628189,240.109451,167.474030,236.132599,236.132599,1648897518
2019-04-03,236.395584,342.870026,236.295288,298.352539,298.352539,4237037516
2019-04-04,298.467499,317.370697,276.333527,286.567657,286.567657,2803008784
2019-04-05,286.635284,299.741486,282.557983,292.641144,292.641144,1697395926
2019-04-06,292.805420,328.436676,285.284760,306.074097,306.074097,2107781160
2019-04-07,305.799011,326.110718,300.135773,319.596527,319.596527,2183906035
2019-04-08,319.765015,326.917969,297.363037,310.157837,310.157837,1918300728
2019-04-09,309.952881,309.952881,294.889496,296.043640,296.043640,1312902758
2019-04-10,295.969421,312.094269,295.786804,305.219910,305.219910,1476621659
2019-04-11,305.124756,306.068726,259.015045,272.709625,272.709625,1824110953
2019-04-12,272.638275,287.013885,260.672180,282.853149,282.853149,1458454991
2019-04-13,282.676514,286.498322,274.123413,279.469482,279.469482,1142074597
2019-04-14,279.410339,289.542938,274.857941,288.647156,288.647156,990830743
2019-04-15,288.698059,332.282532,288.091553,314.118164,314.118164,2459286061
2019-04-16,314.116913,324.842682,305.794464,318.306274,318.306274,1686596635
2019-04-17,318.313995,321.691071,306.279999,310.799957,310.799957,1373348878
2019-04-18,310.872833,314.364716,304.736694,306.956024,306.956024,1203614370
2019-04-19,306.927582,310.080383,293.586243,306.808075,306.808075,1395000141
2019-04-20,306.860107,309.646790,296.763062,300.753204,300.753204,1036399595
2019-04-21,300.809692,303.330841,281.898438,290.480255,290.480255,1279142852
2019-04-22,290.336426,295.896362,287.552246,292.811829,292.811829,1184945127
2019-04-23,292.788788,308.471039,290.621765,291.173889,291.173889,1434551201
2019-04-24,290.964691,291.848053,270.558350,278.936615,278.936615,1554756185
2019-04-25,279.209900,284.034729,266.191223,266.852020,266.852020,1229338670
2019-04-26,267.188812,274.977234,257.490356,263.879272,263.879272,1345116972
2019-04-27,264.086670,266.593658,261.060394,263.940918,263.940918,910703480
2019-04-28,264.118042,267.580841,251.617615,255.470123,255.470123,1007833364
2019-04-29,255.550110,255.550110,232.912567,236.612488,236.612488,1326738644
2019-04-30,237.568848,268.226593,236.331223,267.758148,267.758148,1761938029
2019-05-01,267.992920,278.652802,266.458679,271.816498,271.816498,1693067789
2019-05-02,271.967621,280.164398,268.015717,270.182587,270.182587,1513870926
2019-05-03,270.152618,297.156036,267.883545,293.013489,293.013489,2046668051
2019-05-04,292.875854,311.656769,275.390015,291.491150,291.491150,2665107945
2019-05-05,291.345062,298.909607,287.048981,293.947449,293.947449,1995769808
2019-05-06,293.962097,294.718781,277.510345,287.664490,287.664490,1766785840
2019-05-07,287.677979,298.443146,286.224457,286.734985,286.734985,1773389358
2019-05-08,286.550903,287.264069,276.656311,286.298767,286.298767,1423796800
2019-05-09,286.469757,292.721680,278.452484,284.186249,284.186249,1481835611
2019-05-10,284.200775,294.243256,279.612213,287.730011,287.730011,1807016333
2019-05-11,287.789673,377.011139,287.726471,356.366302,356.366302,3587276404
2019-05-12,356.268524,375.382874,336.192017,354.029938,354.029938,4136205097
2019-05-13,354.029938,401.344849,347.156586,384.477142,384.477142,3775372869
2019-05-14,385.366516,407.578491,369.127289,388.958496,388.958496,3490443260
2019-05-15,389.117218,407.713562,373.637177,402.927246,402.927246,3374131496
2019-05-16,402.440460,443.676300,387.536987,398.703644,398.703644,4522945332
2019-05-17,398.680115,409.997131,340.839050,364.851440,364.851440,3639603282
2019-05-18,364.452026,370.369385,351.989563,357.617462,357.617462,2276729590
